id,popularity,runtime,vote_average,vote_count,,,,,
1,19995,150.437577,162,7.2,11800,,,,
2,285,139.082615,169,6.9,4500,,,,
3,206647,107.376788,148,6.3,4466,,,,
4,49026,112.31295,165,7.6,9106,,,,
5,49529,43.926995,132,6.1,2124,,,,
6,559,115.699814,139,5.9,3576,,,,
7,38757,48.681969,100,7.4,3330,,,,
8,99861,134.279229,141,7.3,6767,,,,
9,767,98.885637,153,7.4,5293,,,,
10,209112,155.790452,151,5.7,7004,,,,
11,1452,57.925623,154,5.4,1400,,,,
12,10764,107.928811,106,6.1,2965,,,,
13,58,145.847379,151,7,5246,,,,
14,57201,49.046956,149,5.9,2311,,,,
15,49521,99.398009,143,6.5,6359,,,,
16,2454,53.978602,150,6.3,1630,,,,
17,24428,144.448633,143,7.4,11776,,,,
18,1865,135.413856,136,6.4,4948,,,,
19,41154,52.035179,106,6.2,4160,,,,
20,122917,120.965743,144,7.1,4760,,,,
21,1930,89.866276,136,6.5,6586,,,,
22,20662,37.668301,140,6.2,1398,,,,
23,57158,94.370564,161,7.6,4524,,,,
24,2268,42.990906,113,5.8,1303,,,,
25,254,61.22601,187,6.6,2337,,,,
26,597,100.025899,194,7.5,7562,,,,
27,271110,198.372395,147,7.1,7241,,,,
28,44833,64.928382,131,5.5,2114,,,,
29,135397,418.708552,124,6.5,8662,,,,
30,37724,93.004993,143,6.9,7604,,,,
31,558,35.149586,127,6.7,4321,,,,
32,68721,77.68208,130,6.8,8806,,,,
33,12155,78.530105,108,6.4,4645,,,,
34,36668,3.857526,104,6.3,3525,,,,
35,62211,89.186492,104,7,3528,,,,
36,8373,21.939663,150,6,3138,,,,
37,91314,116.840296,165,5.8,3095,,,,
38,68728,46.985445,130,5.7,3530,,,,
39,102382,89.270217,142,6.5,4179,,,,
40,20526,73.79505,125,6.3,2841,,,,
41,49013,49.98659,106,5.8,2033,,,,
42,44912,51.872839,114,5.1,2487,,,,
43,10193,59.995418,103,7.6,4597,,,,
44,534,71.862892,115,5.9,2463,,,,
45,168259,102.322217,137,7.3,4176,,,,
46,72190,81.834855,116,6.7,5560,,,,
47,127585,118.078691,131,7.5,6032,,,,
48,54138,78.291018,132,7.4,4418,,,,
49,81005,43.349855,114,5.5,2598,,,,
50,64682,61.196071,143,7.3,3769,,,,
51,9543,62.169881,116,6.2,2317,,,,
52,68726,56.523205,131,6.7,4794,,,,
53,38356,28.529607,154,6.1,3299,,,,
54,217,75.674458,122,5.7,2495,,,,
55,105864,51.692953,93,6.6,1736,,,,
56,62177,125.114374,93,6.7,4641,,,,
57,188927,65.352913,122,6.6,2568,,,,
58,10681,66.390712,98,7.8,6296,,,,
59,5174,22.57178,91,6.1,783,,,,
60,14161,45.274225,158,5.6,4903,,,,
61,17979,39.744242,96,6.6,1095,,,,
62,76757,85.36908,124,5.2,2768,,,,
63,258489,42.741719,109,5.5,2430,,,,
64,411,67.391328,143,6.7,2629,,,,
65,246655,139.272042,144,6.4,4721,,,,
66,155,187.322927,152,8.2,12002,,,,
67,14160,92.201962,96,7.7,6870,,,,
68,15512,36.167578,94,6,1423,,,,
69,1726,120.725053,126,7.4,8776,,,,
70,44826,32.319043,126,7,2141,,,,
,40.748915,106,5.1,1020,,,,,
,60.034162,112,5.2,1387,,,,,
,90.23792,123,5.9,7458,,,,,
,27.082182,96,5.3,1151,,,,,
,79.456485,113,7.6,4858,,,,,
,44.640292,135,5.9,992,,,,,
,32.852443,118,5.6,1962,,,,,
,128.655964,94,8,6560,,,,,
,94.199316,106,6.7,2892,,,,,
,77.300194,124,6.6,6849,,,,,
,77.178973,127,5.8,3118,,,,,
,110.620647,97,7,4496,,,,,
,243.791743,130,7.3,4410,,,,,
,2.418535,109,4.8,34,,,,,
,41.796339,119,5.9,1326,,,,,
,72.225265,136,7.6,5764,,,,,
,44.041186,93,6,1959,,,,,
,130.311355,130,6.2,2846,,,,,
,203.73459,102,7.8,6135,,,,,
,62.341073,108,7.1,4570,,,,,
,47.323228,100,6.4,1474,,,,,
,48.775723,120,4.9,2491,,,,,
,67.263269,98,7.5,4227,,,,,
,69.405188,109,5.9,2143,,,,,
,481.098624,121,7.9,9742,,,,,
,724.247784,169,8.1,10867,,,,,
,167.58371,148,8.1,13752,,,,,
,9.476999,120,6.5,143,,,,,
,108.849621,169,7,8297,,,,,
,6.909942,106,6.6,3428,,,,,
,60.269279,166,7.3,3292,,,,,
,3.195174,132,7.1,5181,,,,,
,127.284427,137,6.6,3984,,,,,
,35.580815,109,5.8,1470,,,,,
,21.133748,99,5.5,583,,,,,
,56.268916,113,6.5,1725,,,,,
,42.986467,93,6,2278,,,,,
,63.148529,123,6.3,2268,,,,,
,202.042635,126,5.8,3631,,,,,
,49.661984,113,6.2,1514,,,,,
,34.20669,183,6.6,1791,,,,,
,25.468493,144,6.6,4040,,,,,
,39.019229,175,5.6,927,,,,,
,78.144395,138,7.4,5494,,,,,
,101.250416,157,7.5,5608,,,,,
,56.758411,92,6.2,2961,,,,,
,70.867401,101,6.9,4853,,,,,
,53.905592,115,6.7,3624,,,,,
,65.677399,111,7.5,4369,,,,,
,115.040024,140,7.5,7359,,,,,
,44.141021,89,6.2,1810,,,,,
,81.781591,105,5.9,1971,,,,,
,5.954334,107,6.2,4021,,,,,
,73.313918,129,6.4,3096,,,,,
,165.125366,102,7.3,5295,,,,,
,70.78591,138,6.7,3443,,,,,
,99.499595,112,6.8,4755,,,,,
,434.278564,120,7.2,9427,,,,,
,67.447636,138,6.5,2129,,,,,
,86.493424,115,6.6,6525,,,,,
,41.845878,98,6.3,1750,,,,,
,26.710398,88,5.1,510,,,,,
,44.927635,99,5.5,1431,,,,,
,50.306728,113,5.7,2320,,,,,
,114.522237,131,7.1,3224,,,,,
,21.214571,102,5.5,549,,,,,
,29.332905,91,5.7,1171,,,,,
,51.247321,91,6.7,1880,,,,,
,33.769336,103,4.7,1151,,,,,
,63.079003,126,6.5,2028,,,,,
,39.004588,131,6.4,1891,,,,,
,12.362599,88,5.5,199,,,,,
,22.550135,85,6,874,,,,,
,48.03528,111,5.9,954,,,,,
,38.73494,92,6.7,843,,,,,
,66.803149,163,6.9,2759,,,,,
,44.989192,93,6.4,1808,,,,,
,54.159392,133,5.8,1092,,,,,
,66.21806,116,5.3,2142,,,,,
,58.485967,151,6.4,2482,,,,,
,91.332849,88,6,3114,,,,,
,35.601665,115,5.5,841,,,,,
,56.747978,95,6.7,1603,,,,,
,77.77477,133,6.8,3972,,,,,
,61.788035,97,7.1,1922,,,,,
,25.159168,90,5.9,627,,,,,
,52.341226,154,7.3,1895,,,,,
,101.599427,150,5.6,1921,,,,,
,73.616808,127,7.4,4518,,,,,
,82.502566,121,6.8,5265,,,,,
,100.21391,102,7.6,3106,,,,,
,56.257249,127,5.3,1277,,,,,
,17.88953,121,4.9,331,,,,,
,64.798873,163,7,2811,,,,,
,24.855701,127,6.3,767,,,,,
,34.981698,138,5.3,1533,,,,,
,59.325589,110,5.4,3025,,,,,
,21.605568,124,5.7,434,,,,,
,26.074908,106,5.9,433,,,,,
,74.506246,124,6.6,7047,,,,,
,39.604363,128,6,862,,,,,
,36.973031,138,6.9,790,,,,,
,99.687084,115,6.1,2553,,,,,
,17.7735,100,5.8,373,,,,,
,62.898336,114,6.1,3021,,,,,
,44.19092,120,6,1000,,,,,
,100.635882,156,7.3,6396,,,,,
,44.765377,96,6.1,1074,,,,,
,29.91353,107,6.6,2051,,,,,
,84.366984,92,6.5,1346,,,,,
,45.381501,115,7.3,2888,,,,,
,84.689648,90,6.9,3145,,,,,
,120.09361,117,7,5880,,,,,
,76.310119,146,7.4,6495,,,,,
,63.473086,94,6.8,1519,,,,,
,48.572726,116,6.2,2322,,,,,
,38.068736,147,6.3,1564,,,,,
,20.678787,90,6.4,451,,,,,
,48.829437,100,6.2,2093,,,,,
,46.115758,139,5.6,2350,,,,,
,89.938296,107,6.7,2061,,,,,
,79.679601,141,7.7,5877,,,,,
,28.840997,165,6.3,694,,,,,
,42.840582,100,5,2532,,,,,
,26.548594,82,6.2,542,,,,,
,115.597753,97,6.1,1851,,,,,
,68.757242,95,6.7,1918,,,,,
,109.984351,152,7.5,7006,,,,,
,39.448066,96,5.4,1260,,,,,
,271.972889,143,7.5,6985,,,,,
,206.227151,123,6.6,5584,,,,,
,45.313197,149,6.5,2704,,,,,
,42.40024,102,6.3,978,,,,,
,2.871739,133,6.8,3506,,,,,
,7.255718,130,7.1,2438,,,,,
,81.499621,129,7,3886,,,,,
,47.686442,106,5.6,2233,,,,,
,43.129703,113,7.1,1710,,,,,
,27.220157,102,6.4,510,,,,,
,90.33681,120,6,2651,,,,,
,50.073575,125,4.2,1418,,,,,
,45.419668,104,6.2,1386,,,,,
,41.380094,124,6.2,2392,,,,,
,54.931334,123,5.9,1928,,,,,
,25.752118,130,6.2,597,,,,,
,60.810723,92,5.4,2589,,,,,
,51.328145,127,7.2,5797,,,,,
,46.834704,114,5.2,1712,,,,,
,62.641286,123,5.9,2341,,,,,
,33.616115,106,5.2,914,,,,,
,68.889395,124,6.3,5080,,,,,
,27.990284,78,5.4,613,,,,,
,67.33767,109,6.4,3439,,,,,
,27.835436,119,6.3,1570,,,,,
,66.757869,102,5.7,2342,,,,,
,17.060695,135,5.7,354,,,,,
,11.137655,121,4.9,223,,,,,
,44.906918,109,5.9,1547,,,,,
,67.698004,124,6.4,4800,,,,,
,44.108427,140,7.1,4116,,,,,
,43.987061,142,6.4,3992,,,,,
,106.815545,92,7.5,5996,,,,,
,15.953444,126,6.3,4053,,,,,
,54.035265,136,6.3,4432,,,,,
,64.183321,98,6.8,2399,,,,,
,20.344364,116,5,471,,,,,
,18.714197,134,5.8,341,,,,,
,60.467984,114,6,1523,,,,,
,143.350376,101,5.8,2636,,,,,
,110.153618,91,7.3,5751,,,,,
,16.90444,108,5.7,428,,,,,
,39.873791,112,5.8,963,,,,,
,38.126095,100,4.4,2278,,,,,
,48.780039,108,6.3,2862,,,,,
,100.412364,114,6,2968,,,,,
,42.887121,119,6,925,,,,,
,23.657284,165,6.8,1099,,,,,
,76.840712,125,6.4,2124,,,,,
,44.635452,120,6.5,2965,,,,,
,103.718387,119,6.2,3829,,,,,
,45.616098,170,7,1489,,,,,
,22.845143,85,4.9,621,,,,,
,31.703608,119,5.5,1251,,,,,
,71.510596,102,6.1,2397,,,,,
,36.65422,103,5.5,1179,,,,,
,19.625972,76,5.7,389,,,,,
,86.105615,121,5.9,1998,,,,,
,37.195046,127,6.6,2692,,,,,
,32.473628,105,5.5,695,,,,,
,23.336875,121,4.1,434,,,,,
,45.94834,114,6.6,2303,,,,,
,48.93337,128,6.4,2089,,,,,
,138.049577,178,8,8705,,,,,
,22.643776,120,5.7,672,,,,,
,18.866672,157,6.7,447,,,,,
,18.251129,82,4.9,366,,,,,
,95.914473,115,6.7,3793,,,,,
,44.490453,144,6.6,1157,,,,,
,30.475297,84,5.8,959,,,,,
